n121	NONHSAT122561.2
n282898	NONMMUT017361.2
n282908	NONMMUT058360.2
n282923	NONMMUT040725.2
n282936	NONMMUT062699.2
n282965	NONMMUT056348.2
n283004	NA
n283020	NA
n283040	NONMMUT031965.2
n283046	NONMMUT031926.2
n283080	NONMMUT031922.2
n283134	NA
n283142	NONMMUT051657.2
n283155	NONMMUT015201.2
n283171	NONMMUT061965.2
n283191	NONMMUT014180.2
n283196	NONMMUT048711.2
n283213	NONMMUT056471.2
n283225	NONMMUT041931.2
n283228	NONMMUT064763.2
n283287	NA
n283304	NONMMUT030370.2
n283346	NONMMUT037284.2
n283354	NONMMUT037194.2
n283364	NONMMUT018614.2
n283375	NONMMUT044123.2
n283380	NONMMUT056349.2
n283393	NA
n283398	NA
n283413	NA
n283489	NONMMUT033749.2
n283511	NA
n283521	NONMMUT018919.2
n283524	NONMMUT063241.2
n283526	NONMMUT018915.2
n283557	NA
n283558	NONMMUT043633.2
n283576	NONMMUT013276.2
n283580	NONMMUT056090.2
n283585	NONMMUT026339.2
n283590	NONMMUT038268.2
n283626	NA
n283634	NONMMUT066480.2
n283637	NONMMUT017326.2
n283640	NONMMUT074511.2
n283643	NA
n283645	NONMMUT036766.2
n283647	NONMMUT035931.2
n283662	NONMMUT050971.2
n283667	NA
n283671	NA
n283683	NONMMUT021624.2
n283689	NONMMUT025983.2
n283704	NONMMUT019849.2
n283705	NONMMUT045338.2
n283718	NONMMUT012487.2
n283740	NONMMUT015057.2
n283769	NONMMUT011227.2
n283771	NONMMUT049942.2
n283797	NONMMUT072235.2
n283801	NONMMUT010787.2
n283813	NONMMUT024592.2
n283833	NONMMUT037121.2
n283842	NONMMUT054430.2
n283869	NONMMUT011295.2
n283879	NONMMUT031895.2
n283885	NONMMUT037704.2
n283886	NONMMUT023438.2
n283896	NONMMUT013593.2
n283927	NA
n283941	NONMMUT027742.2
n283961	NA
n283962	NONMMUT024788.2
n283966	NONMMUT000443.2
n283970	NONMMUT047063.2
n283972	NA
n283989	NONMMUT035508.2
n284011	NONMMUT014816.2
n284013	NONMMUT023568.2
n284019	NA
n284031	NONMMUT049323.2
n284036	NONMMUT045402.2
n284046	NA
n284065	NA
n284069	NONMMUT026973.2
n284095	NONMMUT039988.2
n284120	NONMMUT034564.2
n284141	NONMMUT000662.2
n284144	NONMMUT008407.2
n284190	NONMMUT030064.2
n284217	NONMMUT040551.2
n284228	NONMMUT036973.2
n284233	NONMMUT049676.2
n284235	NONMMUT019726.2
n284251	NONMMUT067428.2
n284263	NONMMUT012275.2
n284267	NONMMUT007450.2
n284283	NONMMUT067371.2
n284303	NONMMUT042296.2
n284311	NONMMUT046398.2
n284329	NA
n284338	NONMMUT003988.2
n284346	NONMMUT059455.2
n284347	NONMMUT015634.2
n284353	NONMMUT031453.2
n284359	NONMMUT008409.2
n284360	NONMMUT036952.2
n284403	NONMMUT025102.2
n284411	NONMMUT046578.2
n284429	NONMMUT067373.2
n284448	NONMMUT023070.2
n284458	NA
n284460	NONMMUT069365.2
n284488	NONMMUT000765.2
n284495	NONMMUT006470.2
n284519	NA
n284525	NONMMUT035876.2
n284533	NA
n284566	NA
n284575	NONMMUT040081.2
n284591	NA
n284611	NA
n284645	NONMMUT057890.2
n284659	NONMMUT045787.2
n284699	NONMMUT013896.2
n284720	NONMMUT008384.2
n284734	NONMMUT033790.2
n284755	NONMMUT073615.2
n284772	NONMMUT037204.2
n284794	NONMMUT047770.2
n284797	NONMMUT038238.2
n284802	NONMMUT063977.2
n284818	NA
n284842	NONMMUT069523.2
n284851	NONMMUT020172.2
n284873	NONMMUT020242.2
n284874	NONMMUT068464.2
n284875	NA
n284885	NA
n284903	NONMMUT050667.2
n284905	NONMMUT068124.2
n284913	NONMMUT065142.2
n284945	NA
n284955	NONMMUT009303.2
n284977	NONMMUT009432.2
n285000	NONMMUT056552.2
n285011	NONMMUT011491.2
n285016	NONMMUT000338.2
n285036	NONMMUT037290.2
n285041	NONMMUT031949.2
n285051	NONMMUT021686.2
n285082	NONMMUT010819.2
n285084	NONMMUT040804.2
n285090	NONMMUT009191.2
n285092	NONMMUT022570.2
n285098	NONMMUT030994.2
n285112	NONMMUT036764.2
n285125	NONMMUT023475.2
n285127	NONMMUT045183.2
n285138	NONMMUT003912.2
n285139	NONMMUT045538.2
n285149	NA
n285153	NONMMUT061793.2
n285160	NONMMUT068941.2
n285161	NONMMUT059864.2
n285178	NONMMUT065712.2
n285180	NONMMUT025347.2
n285181	NONMMUT002424.2
n285196	NONMMUT017302.2
n285223	NA
n285236	NONMMUT010235.2
n285238	NONMMUT009371.2
n285252	NONMMUT064760.2
n285262	NA
n285273	NONMMUT049828.2
n285289	NONMMUT020791.2
n285298	NA
n285317	NONMMUT069498.2
n285345	NONMMUT072234.2
n285358	NONMMUT044202.2
n285371	NONMMUT030262.2
n285373	NA
n285374	NONMMUT007529.2
n285380	NONMMUT016325.2
n285392	NONMMUT023352.2
n285394	NA
n285425	NONMMUT035312.2
n285447	NONMMUT032437.2
n285456	NONMMUT036506.2
n285478	NONMMUT001968.2
n285484	NONMMUT020339.2
n285504	NONMMUT020174.2
n285507	NONMMUT027744.2
n285568	NONMMUT028137.2
n285580	NONMMUT029128.2
n285586	NONMMUT035871.2
n285589	NONMMUT067353.2
n285629	NA
n285658	NONMMUT055319.2
n285662	NONMMUT029123.2
n285679	NA
n285697	NONMMUT051700.2
n285726	NA
n285759	NONMMUT017327.2
n285761	NONMMUT024798.2
n285763	NONMMUT056009.2
n285792	NONMMUT047214.2
n285809	NONMMUT069929.2
n285813	NONMMUT010478.2
n285830	NONMMUT024358.2
n285860	NONMMUT047389.2
n285864	NONMMUT010611.2
n285878	NONMMUT033181.2
n285904	NONMMUT053150.2
n285936	NA
n285943	NA
n285949	NONMMUT041359.2
n285979	NA
n286011	NONMMUT013187.2
n286021	NONMMUT069791.2
n286029	NA
n286031	NONMMUT053146.2
n286089	NONMMUT020218.2
n286094	NONMMUT047872.2
n286102	NA
n286103	NA
n286137	NONMMUT060394.2
n286160	NONMMUT067094.2
n286168	NONMMUT017301.2
n286171	NA
n286183	NONMMUT022750.2
n286217	NONMMUT058087.2
n286219	NONMMUT007438.2
n286240	NONMMUT019251.2
n286249	NONMMUT028189.2
n286255	NA
n286260	NONMMUT056720.2
n286265	NONMMUT054361.2
n286275	NONMMUT056102.2
n286292	NONMMUT039879.2
n286297	NA
n286320	NONMMUT034028.2
n286322	NONMMUT002425.2
n286325	NA
n286339	NONMMUT016828.2
n286366	NONMMUT017845.2
n286368	NONMMUT047072.2
n286378	NONMMUT055734.2
n286382	NONMMUT028613.2
n286384	NONMMUT038170.2
n286385	NONMMUT030732.2
n286392	NONMMUT057511.2
n286397	NONMMUT009304.2
n286411	NONMMUT053112.2
n286416	NONMMUT031112.2
n286428	NONMMUT002422.2
n286442	NONMMUT034417.2
n286457	NONMMUT040937.2
n286486	NONMMUT056992.2
n286531	NONMMUT065404.2
n286533	NA
n286599	NONMMUT028232.2
n286604	NONMMUT018803.2
n286607	NONMMUT047682.2
n286651	NONMMUT064754.2
n286654	NA
n286673	NONMMUT015055.2
n286676	NONMMUT064535.2
n286699	NONMMUT049810.2
n286700	NONMMUT062968.2
n286705	NONMMUT072970.2
n286729	NONMMUT000408.2
n286730	NONMMUT044358.2
n286736	NONMMUT016322.2
n286762	NONMMUT037755.2
n286765	NONMMUT014048.2
n286781	NONMMUT025359.2
n286796	NONMMUT007440.2
n286820	NONMMUT026982.2
n286860	NONMMUT054438.2
n286909	NONMMUT074685.2
n286933	NONMMUT069367.2
n286949	NONMMUT013319.2
n287043	NONMMUT051976.2
n287094	NONMMUT051832.2
n287096	NA
n287110	NONMMUT019656.2
n287112	NONMMUT010985.2
n287131	NONMMUT003342.2
n287173	NONMMUT068949.2
n287183	NONMMUT026443.2
n287203	NONMMUT049609.2
n287209	NONMMUT033184.2
n287216	NONMMUT069761.2
n287232	NONMMUT024584.2
n287251	NONMMUT006967.2
n287280	NA
n287348	NONMMUT051690.2
n287369	NA
n287410	NONMMUT010607.2
n287411	NONMMUT010625.2
n287413	NONMMUT061937.2
n287416	NA
n287450	NONMMUT066206.2
n287455	NA
n287457	NONMMUT009507.2
n287463	NONMMUT036971.2
n287477	NONMMUT010738.2
n287489	NONMMUT028793.2
n287507	NONMMUT038423.2
n287531	NONMMUT013188.2
n287578	NONMMUT013992.2
n287622	NONMMUT003399.2
n287667	NONMMUT066407.2
n287680	NONMMUT049878.2
n287832	NONMMUT025413.2
n287948	NONMMUT030724.2
n287960	NONMMUT011402.2
n287999	NONMMUT037439.2
n288011	NONMMUT025354.2
n288033	NONMMUT022566.2
n288055	NONMMUT047633.2
n288071	NONMMUT020210.2
n288091	NONMMUT042026.2
n288095	NONMMUT039517.2
n288101	NONMMUT055623.2
n288118	NA
n288123	NONMMUT003332.2
n288141	NONMMUT050196.2
n288145	NONMMUT031363.2
n288171	NONMMUT058481.2
n288172	NONMMUT064753.2
n288185	NONMMUT020123.2
n288193	NONMMUT025341.2
n288195	NONMMUT025350.2
n288246	NONMMUT000013.2
n288250	NONMMUT004904.2
n288267	NONMMUT025358.2
n288275	NA
n288279	NONMMUT007196.2
n288284	NONMMUT034055.2
n288286	NONMMUT031677.2
n288321	NONMMUT027450.2
n288323	NONMMUT046393.2
n288329	NONMMUT003690.2
n288337	NONMMUT001732.2
n288346	NONMMUT035522.2
n288354	NONMMUT022585.2
n288363	NONMMUT007691.2
n288371	NONMMUT070534.2
n288384	NONMMUT000779.2
n288395	NA
n288410	NONMMUT065783.2
n288418	NONMMUT036822.2
n288423	NONMMUT007241.2
n288440	NA
n288474	NONMMUT015948.2
n288479	NONMMUT067805.2
n288488	NONMMUT016444.2
n288515	NONMMUT001332.2
n288543	NONMMUT008501.2
n288569	NONMMUT019494.2
n288601	NONMMUT010746.2
n288608	NONMMUT025714.2
n288612	NONMMUT032345.2
n288630	NONMMUT025040.2
n288633	NA
n288636	NONMMUT020662.2
n288644	NONMMUT032054.2
n288645	NONMMUT071233.2
n288661	NONMMUT052918.2
n288666	NONMMUT039313.2
n288667	NA
n288677	NONMMUT003699.2
n288690	NA
n288750	NONMMUT054691.2
n288759	NA
n288788	NONMMUT036736.2
n288790	NONMMUT030247.2
n288825	NA
n288858	NA
n288880	NONMMUT067908.2
n288898	NA
n288920	NONMMUT015175.2
n288936	NA
n288939	NONMMUT013897.2
n288958	NONMMUT003215.2
n288959	NONMMUT021452.2
n288975	NONMMUT071050.2
n288979	NONMMUT058637.2
n289022	NONMMUT022574.2
n289037	NONMMUT055349.2
n289041	NONMMUT070794.2
n289042	NONMMUT056681.2
n289074	NONMMUT030195.2
n289113	NONMMUT042298.2
n289116	NA
n289150	NONMMUT071999.2
n289165	NA
n289179	NONMMUT024479.2
n289186	NONMMUT042465.2
n289194	NONMMUT019921.2
n289227	NONMMUT031683.2
n289241	NONMMUT017385.2
n289265	NONMMUT033755.2
n289284	NA
n289292	NONMMUT062754.2
n289309	NONMMUT026646.2
n289310	NONMMUT010642.2
n289333	NA
n289353	NA
n289398	NONMMUT068328.2
n289406	NONMMUT009632.2
n289493	NONMMUT072211.2
n289512	NA
n289520	NONMMUT023642.2
n289522	NONMMUT033250.2
n289528	NONMMUT014080.2
n289533	NONMMUT057489.2
n289554	NA
n289566	NA
n289582	NA
n289633	NONMMUT008832.2
n289661	NONMMUT065775.2
n289669	NA
n289690	NONMMUT059025.2
n289711	NONMMUT033902.2
n289720	NONMMUT062868.2
n289723	NONMMUT035594.2
n289743	NONMMUT034460.2
n289770	NA
n289786	NONMMUT049536.2
n289792	NA
n289795	NONMMUT030635.2
n289796	NA
n289841	NONMMUT011018.2
n289846	NONMMUT028344.2
n289847	NONMMUT032887.2
n289850	NA
n289860	NA
n289869	NONMMUT030797.2
n289878	NA
n289885	NA
n289886	NONMMUT066671.2
n289934	NA
n289945	NONMMUT013285.2
n289984	NONMMUT042331.2
n290070	NONMMUT010955.2
n290071	NONMMUT058137.2
n290073	NA
n290127	NA
n290134	NONMMUT029758.2
n290135	NA
n290136	NONMMUT000118.2
n290139	NONMMUT053012.2
n290153	NONMMUT038449.2
n290165	NONMMUT056092.2
n290166	NONMMUT020245.2
n290190	NA
n290205	NA
n290212	NONMMUT016501.2
n290218	NONMMUT050078.2
n290232	NONMMUT056261.2
n290252	NONMMUT048378.2
n290273	NONMMUT012942.2
n290274	NONMMUT010813.2
n290281	NONMMUT028961.2
n290298	NONMMUT029770.2
n290309	NONMMUT063376.2
n290316	NONMMUT010731.2
n290329	NONMMUT015990.2
n290353	NONMMUT023690.2
n290358	NONMMUT032014.2
n290398	NONMMUT033019.2
n290406	NONMMUT035392.2
n290431	NONMMUT037785.2
n290442	NA
n290445	NA
n290540	NONMMUT005254.2
n290625	NA
n290634	NONMMUT006956.2
n290659	NONMMUT034685.2
n290663	NA
n290674	NONMMUT033822.2
n290687	NA
n290751	NONMMUT023155.2
n290828	NONMMUT026800.2
n290852	NONMMUT040858.2
n290876	NA
n290893	NONMMUT020140.2
n290894	NONMMUT027498.2
n290896	NONMMUT066329.2
n290910	NONMMUT001222.2
n290940	NA
n291001	NA
n291020	NONMMUT012361.2
n291024	NONMMUT030196.2
n291030	NONMMUT057427.2
n291048	NONMMUT050749.2
n291051	NONMMUT038909.2
n291059	NONMMUT000652.2
n291062	NA
n291080	NA
n291089	NONMMUT037192.2
n291135	NONMMUT051469.2
n291149	NONMMUT052503.2
n291161	NA
n291162	NONMMUT012457.2
n291550	NONMMUT047430.2
n291609	NONMMUT058621.2
n291635	NONMMUT042662.2
n291718	NONMMUT005992.2
n291821	NONMMUT051472.2
n291919	NA
n292032	NONMMUT016635.2
n292173	NONMMUT066112.2
n292225	NA
n292255	NONMMUT056074.2
n292289	NA
n292519	NONMMUT016578.2
n292566	NA
n292646	NONMMUT009223.2
n292986	NONMMUT026688.2
n293082	NONMMUT040780.2
n293087	NA
n293192	NONMMUT056862.2
n293237	NA
n293310	NA
n293320	NONMMUT067600.2
n293337	NONMMUT057805.2
n293373	NA
n293443	NA
n293516	NONMMUT052263.2
n293545	NONMMUT055481.2
n293585	NONMMUT040552.2
n293622	NONMMUT070669.2
n293646	NONMMUT035933.2
n293705	NONMMUT069230.2
n293716	NA
n293731	NONMMUT027003.2
n293774	NONMMUT007652.2
n293778	NA
n293797	NA
n293847	NA
n293886	NA
n293889	NA
n293907	NONMMUT026035.2
n293917	NA
n293937	NA
n293983	NA
n293984	NA
n293999	NA
n294006	NONMMUT047791.2
n294017	NONMMUT042288.2
n294084	NA
n294233	NONMMUT030194.2
n294235	NA
n294286	NONMMUT023281.2
n294303	NONMMUT010771.2
n294316	NONMMUT037253.2
n294317	NONMMUT063021.2
n294330	NONMMUT074406.2
n294377	NA
n294378	NA
n294384	NONMMUT007259.2
n294406	NONMMUT026005.2
n294451	NONMMUT031113.2
n294550	NA
n294599	NA
n294646	NONMMUT071891.2
n294679	NA
n294699	NONMMUT038532.2
n294814	NONMMUT031952.2
n294925	NONMMUT011266.2
n294937	NA
n295022	NONMMUT009696.2
n295069	NONMMUT009306.2
n295076	NONMMUT024805.2
n295079	NONMMUT050489.2
n295092	NA
n295123	NONMMUT046064.2
n295319	NONMMUT010161.2
n295367	NONMMUT014875.2
n295374	NONMMUT047871.2
n295452	NA
n295479	NONMMUT053651.2
n295587	NONMMUT049830.2
n295741	NONMMUT019495.2
n295830	NA
n296137	NONMMUT046153.2
n296432	NONMMUT010397.2
n296763	NONMMUT016662.2
n296852	NA
n296903	NA
n297132	NONMMUT014028.2
n297172	NONMMUT025902.2
n297289	NONMMUT039476.2
n297463	NA
n297593	NA
n297601	NONMMUT012049.2
n297626	NONMMUT071605.2
n297630	NA
n297644	NA
n297653	NA
n309	NA
n323814	NA
n323827	NA
n323867	NA
n323889	NA
n323949	NA
n323950	NA
n323955	NA
n323967	NA
n323992	NA
n324039	NA
n324048	NA
n324236	NA
n324330	NA
n324359	NA
n324480	NA
n324559	NA
n324603	NA
n324635	NA
n324691	NA
n324778	NA
n324796	NA
n324803	NA
n324918	NA
n324942	NA
n325017	NA
n325043	NA
n325109	NA
n325110	NA
n325141	NA
n325160	NA
n325173	NA
n325244	NA
n325252	NA
n325292	NA
n325441	NA
n325490	NA
n325523	NA
n325544	NA
n325593	NA
n325594	NA
n325618	NA
n325625	NA
n325630	NA
n325646	NA
n325653	NA
n325657	NA
n325730	NA
n325854	NA
n325936	NA
n325950	NA
n326086	NA
n326143	NA
n326145	NA
n326148	NA
n326151	NA
n326182	NA
n326183	NA
n326195	NA
n326197	NA
n326203	NA
n326264	NA
n326269	NA
n326309	NA
n326329	NA
n326351	NA
n326457	NA
n326477	NA
n326561	NA
n326601	NA
n326651	NA
n326668	NA
n326762	NA
n326772	NA
n326	NA
n327341	NA
n327487	NONCELT019007.2
n327490	NA
n327529	NA
n327619	NA
n327662	NA
n327941	NA
n327	NA
n328167	NA
n328168	NA
n328253	NA
n328264	NONHSAT105161.2
n328736	NA
n328	NA
n329	NA
n330	NA
n331420	NA
n332381	NONHSAT012820.2
n332454	NONHSAT029339.2
n332501	NONHSAT135233.2
n332578	NA
n332579	NONHSAT130953.2
n332606	NONHSAT053230.2
n332636	NA
n332853	NONHSAT033789.2
n332877	NONHSAT118966.2
n332900	NONHSAT088014.2
n332918	NONHSAT001652.2
n332922	NA
n332	NA
n333015	NONHSAT115703.2
n333358	NA
n333410	NONHSAT017458.2
n333422	NA
n333428	NA
n333481	NONHSAT052035.2
n333490	NA
n333503	NONHSAT098649.2
n333507	NONHSAT136131.2
n333527	NONHSAT094555.2
n333534	NONHSAT119714.2
n333550	NONHSAT022018.2
n333750	NONHSAT004485.2
n333837	NONHSAT032621.2
n334052	NA
n334403	NA
n334504	NONHSAT138609.2
n334613	NONHSAT083463.2
n334616	NONHSAT083445.2
n334773	NONHSAT104080.2
n334777	NONHSAT138156.2
n334786	NONHSAT013031.2
n335100	NONHSAT136259.2
n335106	NONHSAT101350.2
n335135	NONHSAT059481.2
n335179	NONHSAT082242.2
n335486	NONHSAT065863.2
n335521	NONHSAT030139.2
n335526	NA
n335530	NONHSAT119402.2
n335544	NA
n335584	NA
n335591	NONHSAT090759.2
n335629	NONHSAT023690.2
n335656	NONHSAT126113.2
n335682	NONHSAT106589.2
n335713	NA
n336291	NONHSAT016859.2
n336293	NA
n336296	NONHSAT135828.2
n336894	NONHSAT004190.2
n336934	NA
n336975	NONHSAT037134.2
n336993	NA
n337306	NONHSAT102588.2
n337629	NONHSAT136260.2
n337644	NONHSAT000372.2
n337649	NONHSAT000557.2
n337667	NONHSAT040974.2
n337668	NA
n337669	NONHSAT041069.2
n337671	NONHSAT041141.2
n337681	NONHSAT041303.2
n337683	NONHSAT041463.2
n337687	NONHSAT136900.2
n337689	NONHSAT136986.2
n337691	NONHSAT137005.2
n337698	NONHSAT041711.2
n337699	NONHSAT041714.2
n337706	NONHSAT041817.2
n337708	NONHSAT041836.2
n337711	NONHSAT000825.2
n337731	NONHSAT042161.2
n337733	NONHSAT137303.2
n337740	NONHSAT001281.2
n337746	NONHSAT042257.2
n337750	NONHSAT042324.2
n337754	NONHSAT137492.2
n337756	NA
n337757	NA
n337758	NA
n337759	NONHSAT042411.2
n337768	NONHSAT044002.2
n337770	NONHSAT001501.2
n337808	NONHSAT001963.2
n337809	NONHSAT001993.2
n337815	NONHSAT044208.2
n337829	NONHSAT138172.2
n337835	NONHSAT138196.2
n337840	NONHSAT002205.2
n337841	NONHSAT138334.2
n337859	NA
n337863	NONHSAT002390.2
n337864	NONHSAT138693.2
n337873	NONHSAT138818.2
n337874	NONHSAT138823.2
n337886	NA
n337895	NONHSAT139157.2
n337902	NONHSAT139226.2
n337907	NONHSAT002954.2
n337908	NONHSAT002967.2
n337911	NONHSAT046887.2
n337914	NONHSAT003081.2
n337921	NONHSAT003132.2
n337928	NONHSAT083214.2
n337930	NONHSAT083226.2
n337939	NA
n337941	NONHSAT003311.2
n337950	NONHSAT047051.2
n337957	NONHSAT083449.2
n337964	NA
n337966	NONHSAT003439.2
n337970	NONHSAT003470.2
n337977	NONHSAT003604.2
n337986	NA
n337988	NONHSAT047105.2
n337990	NONHSAT003825.2
n337997	NA
n337998	NA
n338000	NONHSAT003885.2
n338006	NONHSAT047179.2
n338009	NONHSAT084646.2
n338021	NA
n338024	NONHSAT004175.2
n338027	NONHSAT004237.2
n338028	NONHSAT004238.2
n338047	NONHSAT085075.2
n338060	NONHSAT004412.2
n338084	NONHSAT047895.2
n338087	NONHSAT004455.2
n338089	NA
n338090	NA
n338092	NONHSAT048046.2
n338108	NA
n338110	NONHSAT086838.2
n338112	NONHSAT004992.2
n338114	NA
n338116	NONHSAT048283.2
n338117	NA
n338128	NA
n338129	NA
n338139	NONHSAT005180.2
n338142	NONHSAT005206.2
n338145	NA
n338146	NA
n338147	NONHSAT049700.2
n338150	NONHSAT050195.2
n338156	NONHSAT087115.2
n338165	NONHSAT050868.2
n338167	NONHSAT087201.2
n338196	NA
n338197	NONHSAT087529.2
n338202	NONHSAT005480.2
n338203	NONHSAT005481.2
n338204	NONHSAT005505.2
n338205	NA
n338207	NONHSAT035664.2
n338208	NONHSAT005533.2
n338217	NONHSAT035861.2
n338221	NONHSAT035915.2
n338222	NONHSAT035952.2
n338223	NONHSAT006360.2
n338224	NONHSAT006361.2
n338229	NONHSAT036096.2
n338231	NONHSAT006480.2
n338245	NA
n338249	NONHSAT036311.2
n338251	NONHSAT036344.2
n338264	NONHSAT060458.2
n338265	NA
n338266	NONHSAT036457.2
n338270	NA
n338288	NONHSAT006903.2
n338297	NONHSAT007037.2
n338298	NONHSAT060959.2
n338304	NONHSAT036690.2
n338306	NONHSAT036790.2
n338322	NONHSAT037192.2
n338325	NONHSAT037203.2
n338336	NA
n338358	NONHSAT037464.2
n338365	NA
n338379	NONHSAT007787.2
n338380	NONHSAT037642.2
n338390	NONHSAT008230.2
n338394	NONHSAT008225.2
n338398	NONHSAT037763.2
n338401	NA
n338404	NONHSAT008282.2
n338411	NA
n338414	NONHSAT037897.2
n338415	NONHSAT037909.2
n338436	NONHSAT039159.2
n338437	NONHSAT039166.2
n338443	NONHSAT039186.2
n338444	NONHSAT039179.2
n338446	NONHSAT008692.2
n338461	NONHSAT039419.2
n338471	NONHSAT039558.2
n338479	NONHSAT063868.2
n338482	NONHSAT064037.2
n338491	NA
n338494	NA
n338495	NA
n338500	NONHSAT064192.2
n338503	NA
n338509	NA
n338510	NONHSAT065778.2
n338512	NONHSAT009289.2
n338513	NA
n338521	NA
n338522	NONHSAT065864.2
n338526	NONHSAT009495.2
n338533	NONHSAT009599.2
n338540	NONHSAT009808.2
n338545	NONHSAT009902.2
n338547	NONHSAT009920.2
n338553	NONHSAT010129.2
n338554	NONHSAT010167.2
n338562	NA
n338572	NONHSAT066050.2
n338577	NONHSAT066071.2
n338584	NONHSAT032281.2
n338591	NA
n338605	NONHSAT066343.2
n338612	NA
n338615	NONHSAT010724.2
n338637	NONHSAT068717.2
n338641	NONHSAT033104.2
n338646	NA
n338647	NA
n338650	NONHSAT033179.2
n338651	NONHSAT033191.2
n338652	NONHSAT066369.2
n338653	NA
n338656	NONHSAT033244.2
n338662	NA
n338697	NONHSAT066640.2
n338702	NONHSAT069615.2
n338707	NONHSAT033662.2
n338712	NA
n338721	NA
n338724	NONHSAT069763.2
n338726	NONHSAT033743.2
n338727	NONHSAT069814.2
n338730	NONHSAT033826.2
n338731	NONHSAT033865.2
n338742	NA
n338747	NONHSAT066972.2
n338750	NONHSAT034093.2
n338758	NONHSAT034218.2
n338763	NONHSAT034263.2
n338774	NONHSAT034313.2
n338776	NONHSAT070189.2
n338788	NONHSAT034472.2
n338799	NONHSAT070324.2
n338810	NONHSAT034741.2
n338811	NONHSAT070401.2
n338812	NONHSAT034743.2
n338822	NONHSAT034821.2
n338823	NA
n338824	NONHSAT070525.2
n338832	NONHSAT025386.2
n338833	NONHSAT025390.2
n338835	NONHSAT025325.2
n338836	NONHSAT070692.2
n338842	NONHSAT025475.2
n338854	NONHSAT070869.2
n338856	NONHSAT070923.2
n338859	NONHSAT071060.2
n338865	NONHSAT071164.2
n338866	NONHSAT071171.2
n338875	NONHSAT071501.2
n338877	NONHSAT071557.2
n338879	NA
n338882	NA
n338886	NONHSAT071727.2
n338897	NA
n338905	NONHSAT067336.2
n338922	NONHSAT072807.2
n338931	NONHSAT072962.2
n338932	NONHSAT067460.2
n338960	NONHSAT068173.2
n338964	NONHSAT074576.2
n338976	NONHSAT074765.2
n338984	NONHSAT075043.2
n338989	NONHSAT075142.2
n338991	NONHSAT068462.2
n339003	NA
n339035	NONHSAT075762.2
n339036	NONHSAT075798.2
n339038	NONHSAT075801.2
n339049	NA
n339052	NONHSAT147835.2
n339055	NONHSAT075989.2
n339061	NONHSAT076063.2
n339063	NONHSAT140369.2
n339069	NONHSAT076186.2
n339073	NONHSAT076209.2
n339084	NONHSAT140670.2
n339087	NA
n339095	NONHSAT026116.2
n339096	NONHSAT026210.2
n339106	NONHSAT076537.2
n339112	NA
n339118	NONHSAT076664.2
n339119	NONHSAT076663.2
n339128	NONHSAT076792.2
n339129	NONHSAT076795.2
n339146	NONHSAT076899.2
n339156	NONHSAT077115.2
n339158	NONHSAT077129.2
n339179	NONHSAT141823.2
n339187	NONHSAT141955.2
n339188	NA
n339189	NONHSAT141905.2
n339199	NONHSAT077838.2
n339210	NONHSAT077878.2
n339212	NA
n339216	NONHSAT142582.2
n339223	NONHSAT077932.2
n339226	NONHSAT078008.2
n339234	NONHSAT087672.2
n339250	NONHSAT088008.2
n339254	NONHSAT088319.2
n339255	NONHSAT088334.2
n339263	NONHSAT088456.2
n339264	NONHSAT088514.2
n339282	NA
n339289	NONHSAT088941.2
n339293	NONHSAT089010.2
n339300	NA
n339304	NA
n339305	NA
n339306	NONHSAT143950.2
n339307	NA
n339315	NONHSAT144129.2
n339333	NONHSAT144461.2
n339341	NONHSAT089367.2
n339347	NONHSAT089495.2
n339349	NONHSAT089496.2
n339363	NONHSAT089889.2
n339365	NONHSAT089900.2
n339370	NONHSAT090006.2
n339379	NONHSAT090106.2
n339380	NONHSAT090108.2
n339384	NONHSAT090223.2
n339386	NONHSAT090251.2
n339388	NONHSAT090291.2
n339390	NONHSAT090345.2
n339393	NA
n339410	NA
n339419	NONHSAT091143.2
n339421	NONHSAT091152.2
n339431	NONHSAT139628.2
n339432	NONHSAT091278.2
n339434	NA
n339435	NA
n339446	NONHSAT081502.2
n339451	NONHSAT081531.2
n339456	NA
n339461	NA
n339464	NONHSAT081708.2
n339468	NONHSAT091480.2
n339486	NONHSAT082006.2
n339490	NONHSAT082035.2
n339517	NONHSAT082239.2
n339518	NONHSAT082246.2
n339526	NONHSAT082319.2
n339527	NONHSAT082321.2
n339533	NONHSAT091769.2
n339541	NONHSAT082967.2
n339544	NONHSAT083046.2
n339552	NONHSAT078100.2
n339556	NONHSAT078217.2
n339558	NONHSAT078261.2
n339567	NONHSAT092227.2
n339579	NA
n339583	NONHSAT078683.2
n339588	NONHSAT078817.2
n339595	NONHSAT078900.2
n339597	NONHSAT078941.2
n339602	NONHSAT079004.2
n339622	NONHSAT092438.2
n339627	NONHSAT079340.2
n339634	NONHSAT092544.2
n339635	NONHSAT092546.2
n339636	NONHSAT092559.2
n339642	NONHSAT092691.2
n339646	NONHSAT092772.2
n339651	NONHSAT092855.2
n339667	NONHSAT093003.2
n339671	NONHSAT079674.2
n339673	NONHSAT079748.2
n339683	NONHSAT079849.2
n339686	NONHSAT093223.2
n339701	NONHSAT093388.2
n339702	NONHSAT093392.2
n339715	NONHSAT080219.2
n339727	NONHSAT080548.2
n339736	NA
n339741	NONHSAT093966.2
n339762	NONHSAT056834.2
n339768	NONHSAT094608.2
